driver_id,constructor_id,points,position,grid,laps,status,gap,fastest_rank,fastest,top_speed_kph,time_sec,season,round,race_name,circuit
bottas,mercedes,26,1,2,58,Finished,1:25:27.325,1,1:25.580,223.075,85.58,2019,1,Australian Grand Prix,albert_park
hamilton,mercedes,18,2,1,58,Finished,+20.886,2,1:26.057,221.839,86.057,2019,1,Australian Grand Prix,albert_park
max_verstappen,red_bull,15,3,4,58,Finished,+22.520,3,1:26.256,221.327,86.256,2019,1,Australian Grand Prix,albert_park
vettel,ferrari,12,4,3,58,Finished,+57.109,8,1:27.954,217.054,87.95400000000001,2019,1,Australian Grand Prix,albert_park
leclerc,ferrari,10,5,5,58,Finished,+58.203,4,1:26.926,219.621,86.926,2019,1,Australian Grand Prix,albert_park
kevin_magnussen,haas,8,6,7,58,Finished,+1:27.156,9,1:28.182,216.493,88.182,2019,1,Australian Grand Prix,albert_park
hulkenberg,renault,6,7,11,57,+1 Lap,NA,12,1:28.444,215.851,88.444,2019,1,Australian Grand Prix,albert_park
raikkonen,alfa,4,8,9,57,+1 Lap,NA,11,1:28.270,216.277,88.27,2019,1,Australian Grand Prix,albert_park
stroll,racing_point,2,9,16,57,+1 Lap,NA,7,1:27.568,218.011,87.568,2019,1,Australian Grand Prix,albert_park
kvyat,toro_rosso,1,10,15,57,+1 Lap,NA,6,1:27.448,218.31,87.44800000000001,2019,1,Australian Grand Prix,albert_park
gasly,red_bull,0,11,17,57,+1 Lap,NA,5,1:27.229,218.858,87.229,2019,1,Australian Grand Prix,albert_park
norris,mclaren,0,12,8,57,+1 Lap,NA,16,1:28.555,215.581,88.555,2019,1,Australian Grand Prix,albert_park
perez,racing_point,0,13,10,57,+1 Lap,NA,15,1:28.485,215.751,88.485,2019,1,Australian Grand Prix,albert_park
albon,toro_rosso,0,14,13,57,+1 Lap,NA,10,1:28.188,216.478,88.188,2019,1,Australian Grand Prix,albert_park
giovinazzi,alfa,0,15,14,57,+1 Lap,NA,14,1:28.479,215.766,88.479,2019,1,Australian Grand Prix,albert_park
russell,williams,0,16,19,56,+2 Laps,NA,17,1:28.713,215.197,88.713,2019,1,Australian Grand Prix,albert_park
kubica,williams,0,17,20,55,+3 Laps,NA,18,1:29.284,213.821,89.28399999999999,2019,1,Australian Grand Prix,albert_park
grosjean,haas,0,18,6,29,Wheel,NA,13,1:28.462,215.807,88.462,2019,1,Australian Grand Prix,albert_park
ricciardo,renault,0,19,12,28,Damage,NA,19,1:29.848,212.478,89.848,2019,1,Australian Grand Prix,albert_park
sainz,mclaren,0,20,18,9,Engine,NA,20,1:30.899,210.022,90.899,2019,1,Australian Grand Prix,albert_park
hamilton,mercedes,25,1,3,57,Finished,1:34:21.295,2,1:33.528,208.314,93.52799999999999,2019,2,Bahrain Grand Prix,bahrain
bottas,mercedes,18,2,4,57,Finished,+2.980,3,1:34.209,206.808,94.209,2019,2,Bahrain Grand Prix,bahrain
leclerc,ferrari,16,3,1,57,Finished,+6.131,1,1:33.411,208.575,93.411,2019,2,Bahrain Grand Prix,bahrain
max_verstappen,red_bull,12,4,5,57,Finished,+6.408,9,1:35.311,204.417,95.311,2019,2,Bahrain Grand Prix,bahrain
vettel,ferrari,10,5,2,57,Finished,+36.068,4,1:34.895,205.313,94.89500000000001,2019,2,Bahrain Grand Prix,bahrain
norris,mclaren,8,6,9,57,Finished,+45.754,12,1:35.777,203.422,95.777,2019,2,Bahrain Grand Prix,bahrain
raikkonen,alfa,6,7,8,57,Finished,+47.470,11,1:35.589,203.822,95.589,2019,2,Bahrain Grand Prix,bahrain
gasly,red_bull,4,8,13,57,Finished,+58.094,8,1:35.291,204.46,95.291,2019,2,Bahrain Grand Prix,bahrain
albon,toro_rosso,2,9,12,57,Finished,+1:02.697,16,1:36.752,201.372,96.75200000000001,2019,2,Bahrain Grand Prix,bahrain
perez,racing_point,1,10,14,57,Finished,+1:03.696,14,1:36.330,202.254,96.33,2019,2,Bahrain Grand Prix,bahrain
giovinazzi,alfa,0,11,16,57,Finished,+1:04.599,7,1:35.237,204.575,95.237,2019,2,Bahrain Grand Prix,bahrain
